name	mean
Белгородская область  	31852
Брянская область	27251
Владимирская область	30460
Воронежская область	31207
Ивановская область	25729
Калужская область	38197
Костромская область 	27724
Курская область	29937
Липецкая область	31622
Московская область	51938
Орловская область	27476
Рязанская область	31916
Смоленская область	29397
Тамбовская область 	26660
Тверская область	31049
Тульская область	34662
Ярославская область   	33474
г. Москва	83801
Республика Карелия	39402
Республика Коми	50413
Архангельская область	48307
Вологодская область	35497
Калининградская область	33385
Ленинградская область	43631
Мурманская область	58045
Новгородская область	31462
Псковская область	26871
г.Санкт-Петербург	60421
Республика Адыгея	27469
Республика Калмыкия	26049
Республика Крым	29640
Краснодарский край	33846
Астраханская область	33630
Волгоградская область	30894
Ростовская область	31448
г. Севастополь	31814
Республика Дагестан	25155
Республика Ингушетия	25367
Кабардино-Балкарская Республика	25776
Карачаево-Черкесская Республика	25430
Республика Северная Осетия - Алания	26958
Чеченская Республика	26177
Ставропольский край	29065
Республика Башкортостан	33753
Республика Марий Эл	28143
Республика Мордовия	26712
Республика Татарстан	35172
Удмуртская Республика	31808
Чувашская Республика	27036
Пермский край	35802
Кировская область	27932
Нижегородская область	32949
Оренбургская область	30371
Пензенская область	28968
Самарская область	33754
Саратовская область	26823
Ульяновская область	28353
Курганская область	28159
Свердловская область	38052
Тюменская область	68664
Челябинская область	35219
Республика Алтай	30953
Республика Тыва	35779
Республика Хакасия	37874
Алтайский край	25519
Красноярский край	45635
Иркутская область	42647
Кемеровская область	38023
Новосибирская область	35686
Омская область	32613
Томская область	41901
Республика Бурятия	36047
Республика Саха (Якутия)	68871
Забайкальский край	40740
Камчатский край	73896
Приморский край	42199
Хабаровский край	47153
Амурская область	42315
Магаданская область	85631
Сахалинская область	77499
Еврейская авт.область	39242
Чукотский авт.округ	98864
