	id	mean	name
0	96	31852	Белгородская область  
1	35	27251	Брянская область
2	36	30460	Владимирская область
3	43	31207	Воронежская область
4	99	25729	Ивановская область
5	97	38197	Калужская область
6	53	27724	Костромская область 
7	55	29937	Курская область
8	57	31622	Липецкая область
9	64	51938	Московская область
10	70	27476	Орловская область
11	103	31916	Рязанская область
12	100	29397	Смоленская область
13	82	26660	Тамбовская область 
14	101	31049	Тверская область
15	84	34662	Тульская область
16	107	33474	Ярославская область   
17	63	83801	г. Москва
18	12	39402	Республика Карелия
19	13	50413	Республика Коми
20	37	48307	Архангельская область
21	42	35497	Вологодская область
22	46	33385	Калининградская область
23	56	43631	Ленинградская область
24	65	58045	Мурманская область
25	67	31462	Новгородская область
26	75	26871	Псковская область
27	1	60421	г.Санкт-Петербург
28	3	27469	Республика Адыгея
29	47	26049	Республика Калмыкия
30	109	29640	Республика Крым
31	27	33846	Краснодарский край
32	38	33630	Астраханская область
33	41	30894	Волгоградская область
34	76	31448	Ростовская область
35	110	31814	г. Севастополь
36	59	25155	Республика Дагестан
37	8	25367	Республика Ингушетия
38	9	25776	Кабардино-Балкарская Республика
39	11	25430	Карачаево-Черкесская Республика
40	17	26958	Республика Северная Осетия - Алания
41	90	26177	Чеченская Республика
42	81	29065	Ставропольский край
43	4	33753	Республика Башкортостан
44	61	28143	Республика Марий Эл
45	62	26712	Республика Мордовия
46	18	35172	Республика Татарстан
47	20	31808	Удмуртская Республика
48	91	27036	Чувашская Республика
49	29	35802	Пермский край
50	51	27932	Кировская область
51	66	32949	Нижегородская область
52	105	30371	Оренбургская область
53	72	28968	Пензенская область
54	77	33754	Самарская область
55	79	26823	Саратовская область
56	88	28353	Ульяновская область
57	98	28159	Курганская область
58	80	38052	Свердловская область
59	86	68664	Тюменская область
60	89	35219	Челябинская область
61	6	30953	Республика Алтай
62	85	35779	Республика Тыва
63	21	37874	Республика Хакасия
64	24	25519	Алтайский край
65	28	45635	Красноярский край
66	45	42647	Иркутская область
67	50	38023	Кемеровская область
68	68	35686	Новосибирская область
69	69	32613	Омская область
70	106	41901	Томская область
71	5	36047	Республика Бурятия
72	92	68871	Республика Саха (Якутия)
73	44	40740	Забайкальский край
74	48	73896	Камчатский край
75	74	42199	Приморский край
76	32	47153	Хабаровский край
77	33	42315	Амурская область
78	58	85631	Магаданская область
79	94	77499	Сахалинская область
80	93	39242	Еврейская авт.область
81	95	98864	Чукотский авт.округ
