name	value
Краснодарский край	10,7
Амурская область	8,9
Республика Саха (Якутия)	8,3
Хабаровский край	8,0
Приморский край	7,4
Смоленская область	7,3
Ленинградская область	7,1
Самарская область	6,4
Липецкая область	5,7
Московская область	5,7
Калужская область	5,6
Новгородская область	5,3
Владимирская область	5,2
Красноярский край	4,6
Тульская область	4,5
Забайкальский край	4,5
Тверская область	4,5
Рязанская область	4,5
Оренбургская область	4,5
Республика Хакасия	4,4
Кемеровская область	4,4
Иркутская область	4,1
Белгородская область	4,0
Республика Бурятия	4,0
Брянская область	3,9
Курская область	3,8
Республика Башкортостан	3,8
Свердловская область	3,7
Москва	3,7
Ульяновская область	3,7
Новосибирская область	3,6
Ярославская область	3,5
Омская область	3,5
Удмуртская Республика	3,4
Калининградская область	3,4
Ставропольский край	3,3
Алтайский край	3,3
Кировская область	3,3
Саратовская область	3,3
Нижегородская область	3,2
Орловская область	3,2
Ивановская область	3,2
Вологодская область	3,2
Республика Дагестан	3,1
Республика Татарстан	3,0
Тамбовская область	2,9
Пермский край	2,8
Волгоградская область	2,7
Курганская область	2,6
Республика Мордовия	2,6
Республика Марий Эл	2,6
Пензенская область	2,4
Кабардино-Балкарская Респ.	2,3
Чувашская Республика	2,3
Псковская область	2,3
Томская область	2,3
Челябинская область	2,2
Санкт-Петербург	2,1
Тюменская область	2,0
Республика Карелия	1,9
Чеченская Республика	1,9
Ямало-Ненецкий АО	1,7
Республика Крым	1,6
Респ. Северная Осетия-Алания	1,5
Архангельская область	1,4
Ханты-Мансийский АО	1,1
Костромская область	1,0
Воронежская область	0,8
Астраханская область	0,0
Ростовская область	-0,2
Республика Коми	-0,6
Мурманская область	-1,0
